item_id,category,color,pattern,material,occasion_type,season_suitability,weather_condition,temperature_C,wear_count_last30days,days_since_last_worn,color_harmony_score,occasion_match_score,weather_match_score,diversity_score,utility_score,outfit_accepted
1,shoes,black,solid,linen,formal,summer,rainy,34.5,2,37,0.6,0.22,0.37,0.87,0.45,0
2,top,brown,striped,canvas,formal,winter,windy,16.1,0,48,0.86,0.76,0.47,1.0,0.71,1
3,bottom,black,solid,canvas,casual,winter,cold,29.1,1,46,0.62,0.3,0.94,0.93,0.68,0
4,bottom,maroon,checkered,wool,outdoor,summer,sunny,31.5,9,5,0.9,0.89,0.5,0.4,0.68,1
5,bottom,navy,checkered,leather,formal,both,cold,33.1,2,38,0.74,0.63,0.4,0.87,0.61,1
6,bottom,brown,striped,leather,casual,summer,sunny,37.2,12,17,0.35,0.93,0.65,0.2,0.61,1
7,top,green,floral,silk,formal,winter,rainy,14.9,8,47,0.71,0.92,0.52,0.47,0.67,1
8,top,brown,floral,denim,casual,summer,rainy,30.1,13,38,0.34,0.51,1.0,0.13,0.59,1
9,shoes,white,solid,linen,outdoor,winter,sunny,16.7,5,29,0.3,0.78,0.78,0.67,0.67,1
10,top,brown,solid,linen,outdoor,both,windy,13.0,11,48,0.41,0.96,0.94,0.27,0.74,1
11,shoes,red,floral,cotton,casual,winter,cold,14.6,7,56,0.7,0.26,0.79,0.53,0.57,1
12,shoes,navy,striped,silk,interview,summer,cold,26.1,13,13,0.95,0.8,0.75,0.13,0.71,1
13,bottom,red,floral,silk,casual,summer,rainy,7.6,0,37,0.69,0.67,0.21,1.0,0.56,1
14,top,grey,solid,cotton,wedding,summer,windy,14.5,15,13,0.68,0.78,0.91,0,0.69,1
15,top,green,floral,wool,casual,summer,hot,19.2,13,29,0.9,0.24,0.72,0.13,0.52,0
16,top,blue,checkered,denim,formal,summer,rainy,26.5,4,27,0.43,0.57,0.9,0.73,0.68,0
17,shoes,black,solid,cotton,casual,summer,rainy,21.3,15,13,0.91,0.92,0.33,0,0.57,0
18,bottom,beige,floral,linen,party,both,windy,31.5,15,9,0.43,0.37,0.25,0,0.28,0
19,top,red,solid,cotton,interview,winter,windy,41.8,5,3,0.97,0.26,0.35,0.67,0.49,0
20,shoes,grey,floral,denim,interview,summer,windy,28.8,2,26,0.76,0.65,0.45,0.87,0.64,1
21,shoes,red,striped,linen,party,summer,cold,23.3,2,0,0.62,1.0,1.0,0.87,0.9,0
22,top,brown,checkered,polyester,wedding,summer,rainy,19.8,5,28,0.88,0.76,0.69,0.67,0.75,1
23,shoes,brown,solid,linen,outdoor,summer,rainy,15.6,3,47,0.69,0.42,0.68,0.8,0.62,1
24,top,beige,plain,silk,wedding,summer,sunny,30.4,8,2,0.3,0.82,0.71,0.47,0.62,1
25,shoes,green,plain,canvas,interview,summer,sunny,8.0,4,34,0.33,0.5,0.64,0.73,0.55,0
26,top,beige,checkered,cotton,wedding,summer,rainy,31.7,11,49,0.69,0.9,0.98,0.27,0.79,1
27,top,navy,striped,canvas,casual,summer,cold,36.3,13,51,0.77,0.79,0.4,0.13,0.55,0
28,shoes,black,floral,cotton,party,summer,rainy,37.7,14,22,0.51,0.84,0.38,0.07,0.5,1
29,top,blue,checkered,linen,casual,winter,cold,30.7,12,43,0.99,0.63,0.95,0.2,0.75,0
30,bottom,navy,plain,linen,casual,summer,windy,22.4,10,27,0.72,0.61,0.51,0.33,0.55,0
31,bottom,white,floral,cotton,interview,both,rainy,19.6,2,60,0.76,0.46,0.45,0.87,0.58,1
32,shoes,beige,plain,linen,outdoor,winter,cold,21.1,9,35,0.39,0.54,0.95,0.4,0.63,1
33,top,maroon,plain,linen,party,both,sunny,17.2,6,27,0.85,0.69,0.46,0.6,0.63,1
34,shoes,grey,plain,silk,outdoor,summer,sunny,16.4,10,5,0.87,0.8,0.74,0.33,0.72,1
35,top,navy,solid,cotton,formal,winter,windy,39.0,2,29,0.59,0.7,0.36,0.87,0.58,1
36,bottom,blue,striped,polyester,outdoor,both,sunny,40.7,3,49,0.6,0.34,0.97,0.8,0.68,1
37,top,brown,striped,denim,party,summer,hot,31.7,10,60,0.83,0.55,0.85,0.33,0.68,1
38,bottom,brown,floral,polyester,outdoor,winter,hot,15.4,7,53,0.75,0.81,0.62,0.53,0.69,1
39,bottom,green,solid,linen,formal,winter,cold,17.8,2,8,0.41,0.51,0.32,0.87,0.48,0
40,bottom,blue,checkered,silk,party,summer,rainy,38.3,12,57,0.84,0.96,0.22,0.2,0.56,1
41,shoes,blue,floral,cotton,wedding,winter,hot,39.1,13,34,0.82,0.64,0.68,0.13,0.61,1
42,top,beige,floral,silk,casual,winter,cold,31.8,12,46,0.42,0.57,0.3,0.2,0.39,0
43,top,blue,plain,cotton,casual,both,hot,10.4,14,11,0.34,0.5,0.37,0.07,0.36,0
44,bottom,beige,floral,linen,casual,winter,sunny,35.0,1,60,0.54,0.72,0.82,0.93,0.75,1
45,top,grey,striped,cotton,interview,summer,rainy,10.0,3,36,0.96,0.57,0.4,0.8,0.62,1
46,shoes,maroon,solid,polyester,wedding,summer,windy,6.0,9,36,0.77,0.97,0.52,0.4,0.69,1
47,top,maroon,striped,denim,outdoor,winter,windy,37.2,1,22,0.67,0.73,0.26,0.93,0.58,1
48,top,blue,floral,denim,party,winter,hot,33.3,13,11,0.81,0.97,0.42,0.13,0.62,1
49,shoes,green,floral,canvas,outdoor,both,cold,17.9,7,53,0.95,0.42,0.56,0.53,0.59,1
50,shoes,maroon,floral,leather,casual,winter,cold,12.3,6,22,0.86,0.47,0.9,0.6,0.72,1
51,bottom,brown,solid,wool,casual,summer,hot,24.5,7,44,0.63,0.77,0.56,0.53,0.63,0
52,bottom,grey,floral,wool,wedding,both,windy,19.8,11,27,1.0,0.64,0.48,0.27,0.6,1
53,bottom,beige,striped,denim,outdoor,summer,cold,9.8,5,12,0.45,0.59,0.78,0.67,0.64,1
54,shoes,maroon,checkered,denim,formal,winter,rainy,19.4,9,0,0.8,0.3,0.24,0.4,0.39,1
55,bottom,navy,floral,denim,casual,both,cold,23.8,14,21,0.43,0.24,0.95,0.07,0.5,0
56,top,blue,floral,denim,interview,both,sunny,11.1,9,5,1.0,0.29,0.81,0.4,0.63,1
57,shoes,grey,plain,canvas,party,winter,cold,39.4,13,19,0.7,0.25,0.97,0.13,0.57,0
58,top,grey,checkered,denim,formal,summer,rainy,27.1,5,0,0.59,0.75,0.58,0.67,0.65,0
59,bottom,beige,floral,denim,outdoor,summer,cold,36.5,6,27,0.38,0.38,0.32,0.6,0.39,0
60,top,black,solid,polyester,wedding,both,windy,41.8,14,7,0.63,0.44,0.52,0.07,0.45,0
61,shoes,green,floral,denim,interview,summer,hot,34.4,8,1,0.36,0.97,0.87,0.47,0.74,1
62,top,beige,plain,cotton,formal,winter,windy,31.1,8,11,1.0,0.55,0.85,0.47,0.73,1
63,bottom,red,floral,leather,wedding,both,sunny,39.3,10,26,0.79,0.43,0.96,0.33,0.67,1
